2021-09-21 09:09:776 INFO  BasePage :31 - Launching Chrome Browser 
2021-09-21 09:09:924 INFO  HomePage :42 - Enter Number : 98 In blank field : [[ChromeDriver: chrome on WINDOWS (405c6e0fe3a1f1e8cfe3d4eb1b94c103)] -> xpath: //input[@id='candidate']]
2021-09-21 09:09:998 INFO  HomePage :48 - Click on Add a number button : [[ChromeDriver: chrome on WINDOWS (405c6e0fe3a1f1e8cfe3d4eb1b94c103)] -> xpath: //button[contains(text(),'Add a number')]]
2021-09-21 09:09:742 INFO  HomePage :42 - Enter Number : 657 In blank field : [[ChromeDriver: chrome on WINDOWS (405c6e0fe3a1f1e8cfe3d4eb1b94c103)] -> xpath: //input[@id='candidate']]
2021-09-21 09:09:858 INFO  HomePage :48 - Click on Add a number button : [[ChromeDriver: chrome on WINDOWS (405c6e0fe3a1f1e8cfe3d4eb1b94c103)] -> xpath: //button[contains(text(),'Add a number')]]
2021-09-21 09:09:541 INFO  HomePage :42 - Enter Number : 9765 In blank field : [[ChromeDriver: chrome on WINDOWS (405c6e0fe3a1f1e8cfe3d4eb1b94c103)] -> xpath: //input[@id='candidate']]
2021-09-21 09:09:612 INFO  HomePage :48 - Click on Add a number button : [[ChromeDriver: chrome on WINDOWS (405c6e0fe3a1f1e8cfe3d4eb1b94c103)] -> xpath: //button[contains(text(),'Add a number')]]
2021-09-21 09:09:182 INFO  HomePage :72 - Getting added number 1 from : [[ChromeDriver: chrome on WINDOWS (405c6e0fe3a1f1e8cfe3d4eb1b94c103)] -> xpath: (//ul[@id='dynamic-list']//li)[1]]
2021-09-21 09:09:229 INFO  HomePage :78 - Getting added number 2 from : [[ChromeDriver: chrome on WINDOWS (405c6e0fe3a1f1e8cfe3d4eb1b94c103)] -> xpath: (//ul[@id='dynamic-list']//li)[2]]
2021-09-21 09:09:276 INFO  HomePage :84 - Getting added number 3 from : [[ChromeDriver: chrome on WINDOWS (405c6e0fe3a1f1e8cfe3d4eb1b94c103)] -> xpath: (//ul[@id='dynamic-list']//li)[3]]
2021-09-21 09:09:945 INFO  BasePage :31 - Launching Chrome Browser 
2021-09-21 09:09:96 INFO  HomePage :42 - Enter Number : 87 In blank field : [[ChromeDriver: chrome on WINDOWS (b4952e9446b124c4e64faa4693d616f6)] -> xpath: //input[@id='candidate']]
2021-09-21 09:09:165 INFO  HomePage :48 - Click on Add a number button : [[ChromeDriver: chrome on WINDOWS (b4952e9446b124c4e64faa4693d616f6)] -> xpath: //button[contains(text(),'Add a number')]]
2021-09-21 09:09:917 INFO  HomePage :42 - Enter Number : 8759 In blank field : [[ChromeDriver: chrome on WINDOWS (b4952e9446b124c4e64faa4693d616f6)] -> xpath: //input[@id='candidate']]
2021-09-21 09:09:994 INFO  HomePage :48 - Click on Add a number button : [[ChromeDriver: chrome on WINDOWS (b4952e9446b124c4e64faa4693d616f6)] -> xpath: //button[contains(text(),'Add a number')]]
2021-09-21 09:09:658 INFO  HomePage :42 - Enter Number : 139 In blank field : [[ChromeDriver: chrome on WINDOWS (b4952e9446b124c4e64faa4693d616f6)] -> xpath: //input[@id='candidate']]
2021-09-21 09:09:725 INFO  HomePage :48 - Click on Add a number button : [[ChromeDriver: chrome on WINDOWS (b4952e9446b124c4e64faa4693d616f6)] -> xpath: //button[contains(text(),'Add a number')]]
2021-09-21 09:09:304 INFO  HomePage :72 - Getting added number 1 from : [[ChromeDriver: chrome on WINDOWS (b4952e9446b124c4e64faa4693d616f6)] -> xpath: (//ul[@id='dynamic-list']//li)[1]]
2021-09-21 09:09:352 INFO  HomePage :78 - Getting added number 2 from : [[ChromeDriver: chrome on WINDOWS (b4952e9446b124c4e64faa4693d616f6)] -> xpath: (//ul[@id='dynamic-list']//li)[2]]
2021-09-21 09:09:399 INFO  HomePage :84 - Getting added number 3 from : [[ChromeDriver: chrome on WINDOWS (b4952e9446b124c4e64faa4693d616f6)] -> xpath: (//ul[@id='dynamic-list']//li)[3]]
2021-09-21 09:09:37 INFO  BasePage :31 - Launching Chrome Browser 
2021-09-21 09:09:235 INFO  HomePage :42 - Enter Number : 148 In blank field : [[ChromeDriver: chrome on WINDOWS (b3e6cfc04fdfdd9f529d3a99411501c0)] -> xpath: //input[@id='candidate']]
2021-09-21 09:09:306 INFO  HomePage :48 - Click on Add a number button : [[ChromeDriver: chrome on WINDOWS (b3e6cfc04fdfdd9f529d3a99411501c0)] -> xpath: //button[contains(text(),'Add a number')]]
2021-09-21 09:09:24 INFO  HomePage :42 - Enter Number : 8 In blank field : [[ChromeDriver: chrome on WINDOWS (b3e6cfc04fdfdd9f529d3a99411501c0)] -> xpath: //input[@id='candidate']]
2021-09-21 09:09:89 INFO  HomePage :48 - Click on Add a number button : [[ChromeDriver: chrome on WINDOWS (b3e6cfc04fdfdd9f529d3a99411501c0)] -> xpath: //button[contains(text(),'Add a number')]]
2021-09-21 09:09:759 INFO  HomePage :42 - Enter Number : 74 In blank field : [[ChromeDriver: chrome on WINDOWS (b3e6cfc04fdfdd9f529d3a99411501c0)] -> xpath: //input[@id='candidate']]
2021-09-21 09:09:827 INFO  HomePage :48 - Click on Add a number button : [[ChromeDriver: chrome on WINDOWS (b3e6cfc04fdfdd9f529d3a99411501c0)] -> xpath: //button[contains(text(),'Add a number')]]
2021-09-21 09:09:405 INFO  HomePage :72 - Getting added number 1 from : [[ChromeDriver: chrome on WINDOWS (b3e6cfc04fdfdd9f529d3a99411501c0)] -> xpath: (//ul[@id='dynamic-list']//li)[1]]
2021-09-21 09:09:451 INFO  HomePage :78 - Getting added number 2 from : [[ChromeDriver: chrome on WINDOWS (b3e6cfc04fdfdd9f529d3a99411501c0)] -> xpath: (//ul[@id='dynamic-list']//li)[2]]
2021-09-21 09:09:491 INFO  HomePage :84 - Getting added number 3 from : [[ChromeDriver: chrome on WINDOWS (b3e6cfc04fdfdd9f529d3a99411501c0)] -> xpath: (//ul[@id='dynamic-list']//li)[3]]
2021-09-21 09:09:147 INFO  BasePage :31 - Launching Chrome Browser 
2021-09-21 09:09:247 INFO  HomePage :42 - Enter Number : 5876 In blank field : [[ChromeDriver: chrome on WINDOWS (d5d2a9e5d688f0dec192d08e12e730a0)] -> xpath: //input[@id='candidate']]
2021-09-21 09:09:318 INFO  HomePage :48 - Click on Add a number button : [[ChromeDriver: chrome on WINDOWS (d5d2a9e5d688f0dec192d08e12e730a0)] -> xpath: //button[contains(text(),'Add a number')]]
2021-09-21 09:09:16 INFO  HomePage :42 - Enter Number : 48 In blank field : [[ChromeDriver: chrome on WINDOWS (d5d2a9e5d688f0dec192d08e12e730a0)] -> xpath: //input[@id='candidate']]
2021-09-21 09:09:83 INFO  HomePage :48 - Click on Add a number button : [[ChromeDriver: chrome on WINDOWS (d5d2a9e5d688f0dec192d08e12e730a0)] -> xpath: //button[contains(text(),'Add a number')]]
2021-09-21 09:09:745 INFO  HomePage :42 - Enter Number : 864 In blank field : [[ChromeDriver: chrome on WINDOWS (d5d2a9e5d688f0dec192d08e12e730a0)] -> xpath: //input[@id='candidate']]
2021-09-21 09:09:811 INFO  HomePage :48 - Click on Add a number button : [[ChromeDriver: chrome on WINDOWS (d5d2a9e5d688f0dec192d08e12e730a0)] -> xpath: //button[contains(text(),'Add a number')]]
